GrantName, TotalGrantAwardAmount ,StartDate,EndDate,RemainingDays,Conditions,,,,
AngelGrant24," $4358675.46 ",8/1/2024,8/1/2026,709,Canada,,,,
PlantGrant56," $5248894.43 ",10/1/2024,10/1/2025,405,Waterfowl,,,,
BlueGrant12," $4000597.54 ",3/1/2024,3/1/2025,191,Desert,,,,
BananaGrant4," $4719831.36 ",3/1/2024,3/1/2026,556,,,,,
ChairGrant29," $4417241.10 ",1/1/2025,1/1/2030,1958,,,,,
CardboardGrant23," $7601526.10 ",6/1/2025,1/1/2026,497,,,,,
GlassGrant209," $4780984.52 ",3/1/2024,3/1/2028,1287,,,,,
HomeGrant74," $3876243.58 ",6/1/2026,8/1/2026,709,Climate Change,,,,
PuzzleGrant2," $5414249.38 ",5/1/2024,5/1/2025,252,,,,,
CoffeeGrant99," $4136626.24 ",1/1/2025,1/1/2026,497,,,,,
TractorGrant192," $7425083.90 ",10/1/2024,7/1/2025,313,,,,,
MarkerGrant150," $4570315.14 ",6/1/2025,6/1/2028,1379,"US only; endangered",,,,
BlanketGrant22," $5538540.91 ",7/1/2024,7/1/2028,1409,,,,,
PaperGrant5," $5056017.52 ",1/1/2025,7/1/2025,313,,,,,
BasketGrant283," $5128393.12 ",4/1/2025,4/1/2026,587,,,,,
